family,representation,successes,total,accuracy,ci_low,ci_high
translation_to_graph,moljson,35,40,0.875,0.738878801611489,0.945404997490546
translation_to_graph,commonchem,31,40,0.775,0.6249690325768998,0.8768390867645927
translation_graph_to_smiles,moljson,27,40,0.675,0.5201774618987768,0.799154977682173
translation_graph_to_smiles,commonchem,31,40,0.775,0.6249690325768998,0.8768390867645927
shortest_path,moljson,50,50,1.0,0.9286524008666414,1.0
shortest_path,commonchem,49,50,0.98,0.8950455641036219,0.9964607407283539
constrained_generation,moljson,96,120,0.8,0.7196332649371805,0.8617552352115975
constrained_generation,commonchem,94,120,0.7833333333333333,0.7014563746709164,0.8476327643584851
overall,moljson,208,250,0.832,0.7807100422284562,0.8732414469065685
overall,commonchem,205,250,0.82,0.7676481206243572,0.8626665676985582
